number,value,params_batch_size,params_dmp,params_lr,params_mom,params_wd
141,0.6888888888888889,4,0.6000000000000001,0.01656639976856583,0.5,0.005735711507561583
190,0.6888888888888889,4,0.7000000000000001,0.03721150951554311,0.6000000000000001,0.00021073338722285063
161,0.6888888888888889,4,0.5,0.015212201890840028,0.7000000000000001,0.0002788473516492407
352,0.6888888888888889,4,0.7000000000000001,0.01637446155870635,0.7000000000000001,0.0028756663245485857
103,0.6888888888888889,4,0.7000000000000001,0.04552790053196706,0.7000000000000001,0.00019635409667106922
269,0.6888888888888889,4,0.6000000000000001,0.03431821495674548,0.6000000000000001,0.00019016961491972063
5,0.6888888888888889,4,0.5,0.00836234809243213,0.9,0.0021972190419850958
252,0.6888888888888889,4,0.7000000000000001,0.012096271915374053,0.5,0.00020656690316286314
25,0.6888888888888889,4,0.9,0.010682706940642718,0.9,0.001088624900233035
113,0.6888888888888889,4,0.8,0.05668458447964614,0.7000000000000001,0.0009062331309214405
111,0.6888888888888889,4,0.7000000000000001,0.03455056466866011,0.7000000000000001,0.0005188893493026842
447,0.6888888888888889,4,0.7000000000000001,0.027444082322113674,0.5,0.00048115663044457496
500,0.7111111111111111,4,0.5,0.023650164016732016,0.7000000000000001,0.00012047312798947434
637,0.7111111111111111,4,0.6000000000000001,0.01928001816991197,0.6000000000000001,0.0005169281654929488
344,0.7111111111111111,4,0.7000000000000001,0.011274955751920411,0.7000000000000001,0.00045649956386196246
341,0.7111111111111111,4,0.2,0.015166543911667718,0.7000000000000001,0.0020506787149224617
308,0.7111111111111111,4,0.6000000000000001,0.021461033055556904,0.7000000000000001,0.004867725744917508
295,0.7111111111111111,4,0.8,0.04744633380999471,0.7000000000000001,0.004195319698416423
292,0.7111111111111111,4,0.7000000000000001,0.019415000403711736,0.4,0.0003836318423223916
885,0.7111111111111111,4,0.9,0.016154547965559284,0.7000000000000001,0.0006019913749224299
77,0.7111111111111111,4,0.8,0.05430125952445548,0.6000000000000001,0.00018090242739754009
38,0.7111111111111111,2,0.5,0.013602059747988608,0.4,0.00016434849693216074
41,0.7111111111111111,4,0.7000000000000001,0.03132771232510451,0.7000000000000001,0.00098955394593622
42,0.7111111111111111,4,0.6000000000000001,0.0532208484172371,0.6000000000000001,0.002334404582340194
43,0.7111111111111111,4,0.7000000000000001,0.0686459075822089,0.7000000000000001,0.000696099694438285
163,0.7111111111111111,4,0.4,0.019282301398911704,0.6000000000000001,0.004917869038348702
598,0.7333333333333333,4,0.5,0.03204624369549293,0.5,0.004722594830089621
674,0.7333333333333333,4,0.8,0.0343601642264197,0.6000000000000001,0.0044110944680036636
13,0.7333333333333333,4,0.7000000000000001,0.07711592736267732,0.7000000000000001,0.0008757396796206268
126,0.7333333333333333,4,0.7000000000000001,0.02102532352182995,0.7000000000000001,0.0027713738218622438
127,0.7333333333333333,4,0.6000000000000001,0.018989119542452124,0.5,0.0028558675874741767
131,0.7333333333333333,4,0.5,0.015141012911992532,0.4,0.0036334355668471508
414,0.7333333333333333,4,0.5,0.01657023567121754,0.6000000000000001,0.00032558446031910084
132,0.7333333333333333,4,0.6000000000000001,0.016461706987063184,0.5,0.005074023204343459
11,0.7333333333333333,4,0.7000000000000001,0.004789175362293863,0.7000000000000001,0.0006011338227919223
392,0.7333333333333333,4,0.7000000000000001,0.018537963865207938,0.6000000000000001,0.00020424899982733597
361,0.7333333333333333,4,0.7000000000000001,0.024514710029486544,0.4,0.0001740940087642331
797,0.7555555555555555,4,0.6000000000000001,0.020710074088789752,0.7000000000000001,0.0019660055453272363
722,0.7555555555555555,4,0.5,0.02672172690798988,0.2,0.0030200732405711796
156,0.7555555555555555,4,0.5,0.016746346391104297,0.7000000000000001,0.002735112431538185
235,0.7555555555555555,4,0.5,0.007945709634755844,0.6000000000000001,0.003343208799522863
105,0.7555555555555555,4,0.6000000000000001,0.015889870259408787,0.6000000000000001,0.0001146329200365507
957,0.7555555555555555,4,0.4,0.0395061092666637,0.6000000000000001,0.00013470455624994343
49,0.7555555555555555,4,0.6000000000000001,0.020277661979683666,0.6000000000000001,0.0017439682942543848
272,0.7555555555555555,4,0.5,0.008218953122301169,0.7000000000000001,0.0002279668017199455
664,0.7555555555555555,4,0.7000000000000001,0.03586343198278217,0.5,0.0025921731475682104
837,0.7555555555555555,4,0.5,0.020456661569778014,0.6000000000000001,0.0005753857249480419
714,0.7777777777777778,4,0.6000000000000001,0.022587208682671594,0.0,0.003518246786151397
62,0.7777777777777778,4,0.8,0.04662834571143892,0.7000000000000001,0.00033080721237324976
196,0.7777777777777778,4,0.7000000000000001,0.017717028100711366,0.8,0.0005855316686888763
411,0.7777777777777778,4,0.7000000000000001,0.025468752076637232,0.6000000000000001,0.00026566525258054036
400,0.7777777777777778,4,0.7000000000000001,0.021885854240209276,0.7000000000000001,0.0005646491072522132
121,0.7777777777777778,4,0.6000000000000001,0.055828260318410115,0.5,0.0022507058113830423
569,0.8,4,0.6000000000000001,0.020077909585637082,0.6000000000000001,0.002098252872370701
18,0.8,16,0.7000000000000001,0.024573044606673426,0.5,0.0003226018245676023
406,0.8,4,0.7000000000000001,0.02524328538297919,0.6000000000000001,0.0016528746941214996
51,0.8,4,0.7000000000000001,0.036629302483574065,0.6000000000000001,0.0033565586220770825
33,0.8,4,0.6000000000000001,0.011478291700544286,0.6000000000000001,0.000939150844784183
453,0.8,4,0.5,0.015212013596580996,0.6000000000000001,0.0025739091566343124
65,0.8222222222222222,4,0.8,0.017794487007424014,0.8,0.00020289198350835496
6,0.8444444444444444,16,0.7000000000000001,0.007535854177246518,0.7000000000000001,0.00029918736593962406
